CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo,Comunidad
CLI178,0,0,0,0.0,1,2,0,0,1,1,0,1,3.0,1,0.0,0,243,1376,2385,1,2,20,3,18
CLI179,0,0,0,0.0,1,3,0,0,1,0,0,0,2.0,0,0.0,0,218,1818,0,0,2,31,0,3
CLI180,0,0,0,0.0,1,2,0,1,1,1,0,0,2.0,1,0.0,0,239,3850,9204,1,2,52,7,12
CLI181,0,0,0,0.0,1,2,0,1,1,0,0,1,3.0,0,2.0,0,187,2169,0,0,1,23,0,0
CLI182,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,1.0,0,227,2015,0,0,1,22,0,7
CLI183,0,0,0,0.0,1,0,3,1,1,0,0,0,3.0,1,0.0,0,226,1376,4432,0,2,21,0,19
CLI184,0,0,0,0.0,1,3,2,0,1,0,0,0,3.0,1,3.0,1,234,2594,6385,0,2,46,0,18
CLI185,0,0,0,0.0,1,0,3,1,1,0,0,0,1.0,1,1.0,0,239,1376,4727,0,1,39,0,6
CLI186,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,0.0,0,242,2015,13954,0,1,48,0,7
CLI187,0,0,0,0.0,1,0,0,0,1,1,0,0,2.0,1,0.0,0,242,2892,14000,1,2,38,7,15
CLI188,0,0,0,0.0,1,0,2,0,1,0,0,0,3.0,0,3.0,1,239,1376,0,0,1,18,0,9
CLI189,0,0,0,0.0,1,0,0,0,1,1,0,0,3.0,1,1.0,1,239,2892,8957,1,2,48,6,19
CLI190,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,1,3.0,1,227,1560,6602,0,1,44,0,1
CLI191,0,0,0,0.0,1,0,3,0,1,1,0,0,3.0,1,1.0,0,235,2208,25046,1,1,62,9,15
CLI192,0,0,0,0.0,1,2,0,1,1,1,0,1,3.0,1,3.0,1,242,1376,6048,0,2,37,0,2
CLI193,0,0,0,0.0,1,3,0,0,1,1,0,0,2.0,0,2.0,0,226,2208,0,1,2,19,4,6
CLI194,0,0,0,0.0,1,1,0,1,1,1,0,0,3.0,1,1.0,0,227,920,8398,0,1,39,0,12
CLI195,0,0,0,0.0,1,3,0,1,1,0,0,0,1.0,0,0.0,0,179,2031,0,0,2,22,0,3
CLI196,0,0,0,0.0,1,0,3,0,1,0,0,0,3.0,0,0.0,0,173,1590,0,0,1,28,0,5
CLI197,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,0,0.0,0,23,3850,0,0,1,30,0,15
CLI198,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,1.0,1,234,2015,0,1,1,24,4,1
CLI199,0,0,0,0.0,1,3,0,0,1,0,0,0,3.0,1,0.0,0,233,1376,1960,1,2,58,3,15
CLI200,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,0.0,0,233,1376,4516,1,1,55,4,0
CLI201,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,235,2015,0,0,1,23,0,7
CLI202,0,0,0,0.0,1,2,3,1,1,1,0,0,2.0,1,0.0,0,228,1560,12196,0,2,44,0,17
CLI203,0,0,0,0.0,1,2,3,0,1,1,0,0,3.0,0,0.0,0,198,2228,0,0,1,30,0,9
CLI204,0,0,0,0.0,1,3,3,0,1,0,0,0,2.0,0,3.0,1,226,1376,0,0,1,21,0,15
CLI205,0,0,0,0.0,1,3,0,0,0,0,0,0,3.0,0,1.0,0,176,1590,0,1,1,20,3,12
CLI206,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,193,2228,0,1,0,23,4,1
CLI207,0,0,0,0.0,1,2,0,1,1,1,0,0,1.0,0,0.0,0,193,2228,0,0,2,32,0,18
CLI208,0,0,0,0.0,1,2,1,1,1,0,0,1,2.0,0,0.0,0,188,2169,0,0,1,23,0,15
CLI209,0,0,0,0.0,1,0,0,0,1,1,0,0,3.0,0,2.0,0,22,2892,0,1,1,25,4,12
CLI210,0,0,0,0.0,1,0,3,1,1,0,0,0,2.0,1,3.0,1,229,1376,22275,0,1,52,0,9
CLI211,0,0,0,0.0,1,2,0,1,1,1,0,1,1.0,0,3.0,1,214,1376,0,0,0,22,0,14
