CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIX9803;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;793;18390;4;62
CLIX9804;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Castellon;NO;SI;NO;Medio;NO DATA;Averia grave;SI;0;12384;3;55
CLIX9805;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Tarragona;SI;NO;NO;Medio;SI;Averia muy grave;SI;0;9498;3;59
CLIX9806;J;TIPO7;FUEL 2;Alta;M;Financiera Banco;EN PAREJA;F;Empresa;Madrid;NO;NO;NO;NA;SI;Averia grave;SI;0;18244;4;54
CLIX9807;J;TIPO7;FUEL 2;Alta;M;Financiera Banco;CASADO;M;Empresa;Malaga;NO;SI;NO;Alto;NO DATA;Averia muy grave;SI;742;8989;3;43
CLIX9808;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;828;20357;7;59
CLIX9809;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Zaragoza;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;0;16429;4;49
CLIX9810;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;828;35850;7;39
CLIX9811;J;TIPO7;FUEL 2;Alta;M;Financiera Banco;CASADO;F;Empresa;Malaga;SI;NO;NO;Alto;SI;Averia leve;NO;742;8770;4;54
CLIX9812;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia muy grave;SI;828;27071;3;52
CLIX9813;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Tarragona;NO;NO;NO;NA;SI;Averia grave;NO;0;19419;2;53
CLIX9814;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia leve;NO;0;16140;2;38
CLIX9815;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Barcelona;SI;SI;NO;Medio-Bajo;SI;Averia leve;NO;1297;19985;4;58
CLIX9816;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Otros;SI;Averia muy grave;SI;4057;10240;4;53
CLIX9817;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Autonomo;Barcelona;NO;SI;NO;Medio-Bajo;NO DATA;Averia grave;SI;1297;6935;5;54
CLIX9818;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Baleares;NO;NO;NO;NA;SI;Averia muy grave;SI;1297;8900;2;37
CLIX9819;J;TIPO7;FUEL 2;Alta;M;Contado;SOLTERO;M;Empresa;Burgos;NO;NO;NO;NA;NO DATA;Averia grave;NO;1297;16119;4;40
CLIX9820;J;TIPO7;FUEL 2;Alta;M;Financiera Banco;CASADO;M;Empresa;Madrid;NO;SI;NO;Medio;NO DATA;Averia leve;NO;1297;17531;4;54
CLIX9821;J;TIPO7;FUEL 2;Alta;M;Financiera Marca;CASADO;M;Empresa;Guipuzcua;NO;NO;NO;Medio-Bajo;NO DATA;Averia leve;NO;4977;19969;4;58
CLIX9822;D;TIPO6;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Leon;SI;NO;NO;Medio;SI;No;NO;4822;19921;7;47
CLIX9823;D;TIPO6;FUEL 1;Media;M;Contado;CASADO;F;Funcionario;Valladolid;NO;NO;NO;Alto;NO DATA;Averia grave;NO;0;23750;7;43
CLIX9824;D;TIPO6;FUEL 2;Media;M;Contado;SOLTERO;M;Funcionario;Huelva;SI;NO;NO;Alto;SI;Averia muy grave;SI;2353;13680;7;41
CLIX9825;D;TIPO6;FUEL 2;Media;M;Contado;SOLTERO;M;Empresa;Lacoruna;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;0;21347;8;42
CLIX9826;D;TIPO6;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Valencia;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1676;7111;4;57
CLIX9827;D;TIPO6;FUEL 2;Media;M;Contado;SOLTERO;M;Empresa;Pontevedra;NO;NO;NO;NA;NO DATA;Averia grave;NO;2839;24291;4;59
CLIX9828;D;TIPO6;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Orense;NO;SI;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;2839;11560;5;45
